disease,id,c,d,e,f,g,h,i
Near Drowning,MESH:D015701,,Non-fatal immersion or submersion in water. The subject is resuscitable.,MESH:D004332,C26.304.500,C26.304,"Drowning, Near|Drownings, Near|Near-Drowning|Near Drownings|Near-Drownings",Wounds and injuries
Necatoriasis,MESH:D009332,DO:DOID:2790,Infection of humans or animals with hookworms of the genus NECATOR. The resulting anemia from this condition is less severe than that from ANCYLOSTOMIASIS.,MESH:D006725,C01.610.335.508.700.775.455.683,C01.610.335.508.700.775.455,Necatoriases,Parasitic disease
Neck Injuries,MESH:D019838,,"General or unspecified injuries to the neck. It includes injuries to the skin, muscles, and other soft tissues of the neck.",MESH:D014947,C26.700,C26,"Injuries, Neck|Injury, Neck|Neck Injury",Wounds and injuries
Neck Pain,MESH:D019547,,Discomfort or more intense forms of pain that are localized to the cervical region. This term generally refers to pain in the posterior or lateral regions of the neck.,MESH:D010146,C23.888.592.612.553,C23.888.592.612,"Ache, Neck|Aches, Neck|Anterior Cervical Pain|Anterior Cervical Pains|Anterior Neck Pain|Anterior Neck Pains|Cervicalgia|Cervicalgias|Cervical Pain|Cervical Pain, Anterior|Cervical Pain, Posterior|Cervical Pains|Cervical Pains, Anterior|Cervical Pains, Posterior|Cervicodynia|Cervicodynias|Neckache|Neck Ache|Neckaches|Neck Aches|Neck Pain, Anterior|Neck Pain, Posterior|Neck Pains|Neck Pains, Anterior|Neck Pains, Posterior|Pain, Anterior Cervical|Pain, Anterior Neck|Pain, Cervical|Pain, Neck|Pain, Posterior Cervical|Pain, Posterior Neck|Pains, Anterior Cervical|Pains, Anterior Neck|Pains, Cervical|Pains, Neck|Pains, Posterior Cervical|Pains, Posterior Neck|Posterior Cervical Pain|Posterior Cervical Pains|Posterior Neck Pain|Posterior Neck Pains",Signs and symptoms
Necrobiosis Lipoidica,MESH:D009335,DO:DOID:3486,A degenerative disease of the dermal connective tissue characterized by the development of erythematous papules or nodules in the pretibial area. The papules form plaques covered with telangiectatic vessels. More than half of the affected patients have diabetes.,MESH:D012875|MESH:D017441,C17.300.200.495.545|C17.800.550.545|C17.800.849.495|C18.452.880.495,C17.300.200.495|C17.800.550|C17.800.849|C18.452.880,"Diabeticorum, Necrobiosis Lipoidica|Necrobiosis Lipoidica Diabeticorum",Connective tissue disease|Metabolic disease|Skin disease
Necrobiotic Disorders,MESH:D017441,,"A group of disorders characterized by swelling, basophilia, and distortion of collagen bundles in the dermis.",MESH:D003095|MESH:D012871,C17.300.200.495|C17.800.550,C17.300.200|C17.800,"Disorder, Necrobiotic|Disorders, Necrobiotic|Necrobioses|Necrobiosis|Necrobiotic Disorder",Connective tissue disease|Skin disease
Necrobiotic Xanthogranuloma,MESH:D058252,,"A cutaneous necrobiotic disorder characterized by firm, yellow plaques or nodules, often in a periorbital distribution. It is often accompanied by an elevated ERYTHROCYTE SEDIMENTATION RATE; LEUKOPENIA; and MONOCLONAL GAMMOPATHY (IgG-kappa type) and systemic involvement.",MESH:D006099|MESH:D014973|MESH:D017441,C15.604.515.292.507|C17.300.200.495.772|C17.800.550.772|C18.452.584.750.487|C23.550.382.984,C15.604.515.292|C17.300.200.495|C17.800.550|C18.452.584.750|C23.550.382,"Necrobiotic Xanthogranulomas|Xanthogranuloma, Necrobiotic|Xanthogranulomas, Necrobiotic",Connective tissue disease|Lymphatic disease|Metabolic disease|Pathology (process)|Skin disease
Necrolytic Migratory Erythema,MESH:D058568,,"Recurrent cutaneous manifestation of GLUCAGONOMA characterized by necrolytic polycyclic migratory lesions with scaling borders. It is associated with elevated secretion of GLUCAGON by the tumor. Other conditions with elevated serum glucagon levels such as HEPATIC CIRRHOSIS may also result in similar skin lesions, which are referred to as pseudoglucagonoma syndrome.",MESH:D012871|MESH:D012877,C17.800.551|C23.888.885.468,C17.800|C23.888.885,"Erythema, Necrolytic Migratory|Erythemas, Necrolytic Migratory|Migratory Erythema, Necrolytic|Migratory Erythemas, Necrolytic|Necrolytic Migratory Erythemas|Pseudoglucagonoma Syndrome|Pseudoglucagonoma Syndromes|Syndrome, Pseudoglucagonoma|Syndromes, Pseudoglucagonoma",Signs and symptoms|Skin disease
Necrophobia,MESH:C000719207,,,MESH:D010698,F03.080.725/C000719207,F03.080.725,"Fear of dead things|Fear of death|Fear of death or dead things|Phobia, death",Mental disorder
Necrosis,MESH:D009336,,"The death of cells in an organ or tissue due to disease, injury or failure of the blood supply.",MESH:D010335,C23.550.717,C23.550,,Pathology (process)
"Necrotizing Encephalomyelopathy, Subacute, of Leigh, Adult",MESH:C563530,,,MESH:D007888|MESH:D015418,C10.228.140.163.100.412/C563530|C10.292.700.225.500/C563530|C10.574.500.662/C563530|C11.270.564/C563530|C11.640.451.451/C563530|C16.320.290.564/C563530|C16.320.400.630/C563530|C16.320.565.189.412/C563530|C16.320.565.202.810.444/C563530|C18.452.132.100.412/C563530|C18.452.648.189.412/C563530|C18.452.648.202.810.444/C563530|C18.452.660.520/C563530,C10.228.140.163.100.412|C10.292.700.225.500|C10.574.500.662|C11.270.564|C11.640.451.451|C16.320.290.564|C16.320.400.630|C16.320.565.189.412|C16.320.565.202.810.444|C18.452.132.100.412|C18.452.648.189.412|C18.452.648.202.810.444|C18.452.660.520,"Leigh Syndrome, Adult",Eye disease|Genetic disease (inborn)|Metabolic disease|Nervous system disease
"Necrotizing encephalopathy, infantile subacute, of Leigh",MESH:C538590,,,MESH:D007888,C10.228.140.163.100.412/C538590|C16.320.565.189.412/C538590|C16.320.565.202.810.444/C538590|C18.452.132.100.412/C538590|C18.452.648.189.412/C538590|C18.452.648.202.810.444/C538590|C18.452.660.520/C538590,C10.228.140.163.100.412|C16.320.565.189.412|C16.320.565.202.810.444|C18.452.132.100.412|C18.452.648.189.412|C18.452.648.202.810.444|C18.452.660.520,Leigh's necrotizing encephalopathy,Genetic disease (inborn)|Metabolic disease|Nervous system disease
Needlestick Injuries,MESH:D016602,,Penetrating stab wounds caused by needles. They are of special concern to health care workers since such injuries put them at risk for developing infectious disease.,MESH:D014951,C26.986.950.500,C26.986.950,"Injuries, Needlestick|Injuries, Needle-Stick|Injuries, Sharps|Injury, Needlestick|Injury, Needle-Stick|Injury, Sharps|Needlestick|Needle Stick|Needle-Stick|Needle Stick Injuries|Needle-Stick Injuries|Needlestick Injury|Needle-Stick Injury|Needlesticks|Needle Sticks|Needle-Sticks|Sharps Injuries|Sharps Injury|Stick, Needle|Sticks, Needle",Wounds and injuries
Negative rheumatoid factor polyarthritis,MESH:C538347,,,MESH:D001168,C05.550.114/C538347,C05.550.114,RF-ve CP|Rheumatoid factor negative erosive chronic polyarthritis|Rheumatoid factor-negative polyarthritis,Musculoskeletal disease
Neglected Diseases,MESH:D058069,,Diseases that are underfunded and have low name recognition but are major burdens in less developed countries. The World Health Organization has designated six tropical infectious diseases as being neglected in industrialized countries that are endemic in many developing countries (HELMINTHIASIS; LEPROSY; LYMPHATIC FILARIASIS; ONCHOCERCIASIS; SCHISTOSOMIASIS; and TRACHOMA).,MESH:D020969,C23.550.291.890,C23.550.291,"Disease, Neglected|Diseases, Neglected|Neglected Disease",Pathology (process)
Neisseriaceae Infections,MESH:D016870,,Infections with bacteria of the family NEISSERIACEAE.,MESH:D016905,C01.150.252.400.625,C01.150.252.400,"Infection, Neisseriaceae|Infections, Neisseriaceae|Neisseriaceae Infection",Bacterial infection or mycosis
Nelson Syndrome,MESH:D009347,DO:DOID:4968,"A syndrome characterized by HYPERPIGMENTATION, enlarging pituitary mass, visual defects secondary to compression of the OPTIC CHIASM, and elevated serum ACTH. It is caused by the expansion of an underlying ACTH-SECRETING PITUITARY ADENOMA that grows in the absence of feedback inhibition by adrenal CORTICOSTEROIDS, usually after ADRENALECTOMY.",MESH:D049913,C04.588.322.609.145.500|C10.228.140.617.738.675.149.500|C19.344.609.145.500|C19.700.734.145.500,C04.588.322.609.145|C10.228.140.617.738.675.149|C19.344.609.145|C19.700.734.145,,Cancer|Endocrine system disease|Nervous system disease
Nemaline myopathy 1,MESH:C538348,DO:DOID:0110926|OMIM:609284,,MESH:D017696,C05.651.575.290/C538348|C10.668.491.550.290/C538348,C05.651.575.290|C10.668.491.550.290,"CAPM1, INCLUDED|CAP MYOPATHY 1, INCLUDED|Cap Myopathy, Tpm3-Related|NEM1|Nemaline myopathy caused by mutation in the tropomyosin 3 gene",Musculoskeletal disease|Nervous system disease
NEMALINE MYOPATHY 10,OMIM:616165,DO:DOID:0110931,,MESH:D017696,C05.651.575.290/616165|C10.668.491.550.290/616165,C05.651.575.290|C10.668.491.550.290,NEM10,Musculoskeletal disease|Nervous system disease
"NEMALINE MYOPATHY 11, AUTOSOMAL RECESSIVE",OMIM:617336,DO:DOID:0110933,,MESH:D017696,C05.651.575.290/617336|C10.668.491.550.290/617336,C05.651.575.290|C10.668.491.550.290,NEM11,Musculoskeletal disease|Nervous system disease
Nemaline Myopathy 2,MESH:C538349,DO:DOID:0110928|OMIM:256030,,MESH:D017696,C05.651.575.290/C538349|C10.668.491.550.290/C538349,C05.651.575.290|C10.668.491.550.290,NEM2|Nemaline myopathy caused by mutation in the nebulin gene,Musculoskeletal disease|Nervous system disease
"NEMALINE MYOPATHY 3;NEM3 MYOPATHY, ACTIN, CONGENITAL, WITH EXCESS OF THIN MYOFILAMENTS,",OMIM:161800,DO:DOID:0110927,,MESH:C579880|MESH:D017696,C05.651.575.290/161800|C05.651.575/C579880/161800|C10.668.491.550.290/161800|C10.668.491.550/C579880/161800,C05.651.575.290|C05.651.575/C579880|C10.668.491.550.290|C10.668.491.550/C579880,"INCLUDED|MYOPATHY, ACTIN, CONGENITAL, WITH CORES, INCLUDED|NEMALINE MYOPATHY 3, WITH INTRANUCLEAR RODS, INCLUDED",Musculoskeletal disease|Nervous system disease
Nemaline myopathy 4,MESH:C538351,DO:DOID:0110932|OMIM:609285,,MESH:D017696,C05.651.575.290/C538351|C10.668.491.550.290/C538351,C05.651.575.290|C10.668.491.550.290,"CAPM2, INCLUDED|CAP MYOPATHY 2, INCLUDED|Cap Myopathy, Tpm2-Related|NEM4|Nemaline myopathy caused by mutation in the tropomyosin 2 gene",Musculoskeletal disease|Nervous system disease
Nemaline myopathy 5,MESH:C538397,DO:DOID:0110936|OMIM:605355,,MESH:D017696,C05.651.575.290/C538397|C10.668.491.550.290/C538397,C05.651.575.290|C10.668.491.550.290,"Amish Nemaline Myopathy|ANM|NEM5|Nemaline Myopathy, Amish Type|Nemaline myopathy, caused by mutation in the troponin t1 gene",Musculoskeletal disease|Nervous system disease
Nemaline myopathy 6,MESH:C538398,DO:DOID:0110935|OMIM:609273,,MESH:D017696,C05.651.575.290/C538398|C10.668.491.550.290/C538398,C05.651.575.290|C10.668.491.550.290,NEM6,Musculoskeletal disease|Nervous system disease
Nemaline Myopathy 7,MESH:C565198,DO:DOID:0110934|OMIM:610687,,MESH:D017696,C05.651.575.290/C565198|C10.668.491.550.290/C565198,C05.651.575.290|C10.668.491.550.290,NEM7,Musculoskeletal disease|Nervous system disease
NEMALINE MYOPATHY 8,OMIM:615348,DO:DOID:0110930,,MESH:D017696,C05.651.575.290/615348|C10.668.491.550.290/615348,C05.651.575.290|C10.668.491.550.290,NEM8,Musculoskeletal disease|Nervous system disease
NEMALINE MYOPATHY 9,OMIM:615731,DO:DOID:0110929,,MESH:D017696,C05.651.575.290/615731|C10.668.491.550.290/615731,C05.651.575.290|C10.668.491.550.290,NEM9,Musculoskeletal disease|Nervous system disease
Nematode Infections,MESH:D009349,,"Infections by nematodes, general or unspecified.",MESH:D006373,C01.610.335.508,C01.610.335,"Infection, Nematode|Infections, Nematode|Nematode Infection",Parasitic disease
NEMO mutation with immunodeficiency,MESH:C538399,,,MESH:D000081207|MESH:D004476|MESH:D040181,C16.131.077.350/C538399|C16.131.831.350/C538399|C16.320.322/C538399|C16.320.798/C538399|C16.320.850.250/C538399|C17.800.804.350/C538399|C17.800.827.250/C538399|C20.673.795/C538399,C16.131.077.350|C16.131.831.350|C16.320.322|C16.320.798|C16.320.850.250|C17.800.804.350|C17.800.827.250|C20.673.795,NF-kappa B essential modulator (NEMO) mutation with immunodeficiency,Congenital abnormality|Genetic disease (inborn)|Immune system disease|Skin disease
Neointima,MESH:D058426,,"The new and thickened layer of scar tissue that forms on a PROSTHESIS, or as a result of vessel injury especially following ANGIOPLASTY or stent placement.",MESH:D010335,C23.550.722,C23.550,"Formation, Neointima|Neointima Formation|Neointimas",Pathology (process)
Neonatal Abstinence Syndrome,MESH:D009357,DO:DOID:9828,"Fetal and neonatal addiction and withdrawal as a result of the mother's dependence on drugs during pregnancy. Withdrawal or abstinence symptoms develop shortly after birth. Symptoms exhibited are loud, high-pitched crying, sweating, yawning and gastrointestinal disturbances.",MESH:D007232|MESH:D019966,C16.614.610|C25.775.650|F03.900.650,C16.614|C25.775|F03.900,"Abstinence Syndrome, Neonatal|Abstinence Syndromes, Neonatal|Addiction, Neonatal Passive|Addictions, Neonatal Passive|Neonatal Abstinence Syndromes|Neonatal Passive Addiction|Neonatal Passive Addictions|Neonatal Substance Withdrawal|Neonatal Substance Withdrawals|Neonatal Withdrawal Syndrome|Neonatal Withdrawal Syndromes|Passive Addiction, Neonatal|Passive Addictions, Neonatal|Substance Withdrawal, Neonatal|Substance Withdrawals, Neonatal|Syndrome, Neonatal Abstinence|Syndrome, Neonatal Withdrawal|Syndromes, Neonatal Abstinence|Syndromes, Neonatal Withdrawal|Withdrawal, Neonatal Substance|Withdrawal Syndrome, Neonatal|Withdrawal Syndromes, Neonatal",Infant-newborn disease|Mental disorder|Substance-related disorder
Neonatal Brachial Plexus Palsy,MESH:D000076984,,Perinatal nerve injury involving the BRACHIAL PLEXUS involving a weak or paralyzed upper extremity.,MESH:D001720|MESH:D020516,C10.668.829.100.750|C16.614.131.294|C26.141.294,C10.668.829.100|C16.614.131|C26.141,Obstetrical Brachial Plexus Lesion|Obstetrical Brachial Plexus Palsy,Infant-newborn disease|Nervous system disease|Wounds and injuries
Neonatal hemochromatosis,MESH:C536394,OMIM:231100,,MESH:D006432,C16.320.565.618.337/C536394|C18.452.565.500.480/C536394|C18.452.648.618.337/C536394,C16.320.565.618.337|C18.452.565.500.480|C18.452.648.618.337,"Alloimmune Hepatitis, Congenital|Giant cell hepatitis|GIANT CELL HEPATITIS, FORMERLY|Hemochromatosis, Neonatal|Idiopathic Neonatal Hemochromatosis|Neonatal hepatitis|NEONATAL HEPATITIS, FORMERLY|NH|NHC|PIGCH post infantile giant cell hepatitis",Genetic disease (inborn)|Metabolic disease
Neonatal herpes,MESH:C536395,,,MESH:D006561|MESH:D011251,C01.674/C536395|C01.925.256.466.382/C536395|C01.925.825.320/C536395|C12.050.703.700/C536395|C17.800.838.790.320/C536395,C01.674|C01.925.256.466.382|C01.925.825.320|C12.050.703.700|C17.800.838.790.320,Neonatal herpes simplex virus infection|Neonatal HSV infection,Pregnancy complication|Skin disease|Viral disease
Neonatal-onset citrullinemia type 2,MESH:C536398,OMIM:605814,,MESH:D020159,C10.228.140.163.100.937.374/C536398|C16.320.565.100.940.374/C536398|C16.320.565.189.937.374/C536398|C18.452.132.100.937.374/C536398|C18.452.648.100.940.374/C536398|C18.452.648.189.937.374/C536398,C10.228.140.163.100.937.374|C16.320.565.100.940.374|C16.320.565.189.937.374|C18.452.132.100.937.374|C18.452.648.100.940.374|C18.452.648.189.937.374,"Cholestasis, Neonatal Intrahepatic, caused by Citrin Deficiency|Citrullinemia, Type II, Neonatal-Onset|CITRULLINEMIA, TYPE II, NEONATAL-ONSET, WITH OR WITHOUT FAILURE TO THRIVE AND DYSLIPIDEMIA|Neonatal intrahepatic cholestasis caused by citrin deficiency|Neonatal-onset citrullinemia type II|NICCD",Genetic disease (inborn)|Metabolic disease|Nervous system disease
Neonatal ovarian cyst,MESH:C536396,,,MESH:D010048,C04.182.612/C536396|C12.050.351.500.056.630.580/C536396|C12.100.250.056.630.580/C536396|C19.391.630.580/C536396,C04.182.612|C12.050.351.500.056.630.580|C12.100.250.056.630.580|C19.391.630.580,Fetal ovarian cyst,Cancer|Endocrine system disease|Urogenital disease (female)
Neonatal Sepsis,MESH:D000071074,,Blood infection that occurs in an infant younger than 90 days old. Early-onset sepsis is seen in the first week of life and most often appears within 24 hours of birth. Late-onset occurs after 1 week and before 3 months of age.,MESH:D007232|MESH:D018805,C01.757.580|C16.614.627|C23.550.470.790.500.470,C01.757|C16.614|C23.550.470.790.500,"Early-Onset Sepses, Neonatal|Early-Onset Sepsis, Neonatal|Late-Onset Sepses, Neonatal|Late-Onset Sepsis, Neonatal|Neonatal Early-Onset Sepses|Neonatal Early Onset Sepsis|Neonatal Early-Onset Sepsis|Neonatal Late-Onset Sepses|Neonatal Late Onset Sepsis|Neonatal Late-Onset Sepsis|Neonatal Sepses|Sepses, Neonatal|Sepses, Neonatal Early-Onset|Sepses, Neonatal Late-Onset|Sepsis, Neonatal|Sepsis, Neonatal Early-Onset|Sepsis, Neonatal Late-Onset",Infant-newborn disease|Pathology (process)
Neonatal Systemic lupus erythematosus,MESH:C536397,,,MESH:D008180,C17.300.480/C536397|C20.111.590/C536397,C17.300.480|C20.111.590,Neonatal lupus|Neonatal lupus syndrome,Connective tissue disease|Immune system disease
Neoplasm Invasiveness,MESH:D009361,,Ability of neoplasms to infiltrate and actively destroy surrounding tissue.,MESH:D009385,C04.697.645|C23.550.727.645,C04.697|C23.550.727,"Invasion, Neoplasm|Invasiveness, Neoplasm|Neoplasm Invasion",Cancer|Pathology (process)
Neoplasm Metastasis,MESH:D009362,,The transfer of a neoplasm from one organ or part of the body to another remote from the primary site.,MESH:D009385,C04.697.650|C23.550.727.650,C04.697|C23.550.727,"Metastase|Metastases|Metastases, Neoplasm|Metastasis|Metastasis, Neoplasm|Neoplasm Metastases",Cancer|Pathology (process)
Neoplasm Micrometastasis,MESH:D061206,,Newly arising secondary tumors so small they are difficult to detect by physical examination or routine imaging techniques.,MESH:D009362,C04.697.650.695|C23.550.727.650.695,C04.697.650|C23.550.727.650,"Micrometastase, Neoplasm|Micrometastases|Micrometastases, Neoplasm|Micrometastasis|Micrometastasis, Neoplasm|Neoplasm Micrometastase|Neoplasm Micrometastases",Cancer|Pathology (process)
"Neoplasm Recurrence, Local",MESH:D009364,,The local recurrence of a neoplasm following treatment. It arises from microscopic cells of the original neoplasm that have escaped therapeutic intervention and later become clinically visible at the original site.,MESH:D009385,C04.697.655|C23.550.727.655,C04.697|C23.550.727,"Local Neoplasm Recurrence|Local Neoplasm Recurrences|Locoregional Neoplasm Recurrence|Locoregional Neoplasm Recurrences|Neoplasm Recurrence, Locoregional|Neoplasm Recurrences, Local|Neoplasm Recurrences, Locoregional|Recurrence, Local Neoplasm|Recurrence, Locoregional Neoplasm|Recurrences, Local Neoplasm|Recurrences, Locoregional Neoplasm",Cancer|Pathology (process)
"Neoplasm Regression, Spontaneous",MESH:D009365,,Disappearance of a neoplasm or neoplastic state without the intervention of therapy.,MESH:D009385,C04.697.670|C23.550.727.670,C04.697|C23.550.727,"Neoplasm Remission, Spontaneous|Regression, Spontaneous Neoplasm|Remission, Spontaneous Neoplasm|Spontaneous Neoplasm Regression|Spontaneous Neoplasm Remission",Cancer|Pathology (process)
"Neoplasm, Residual",MESH:D018365,,"Remnant of a tumor or cancer after primary, potentially curative therapy.",MESH:D009385,C04.697.700|C23.550.727.700,C04.697|C23.550.727,"Cancer, Residual|Minimal Disease, Residual|Minimal Residual Disease|Minimal Residual Diseases|Residual Cancer|Residual Cancers|Residual Disease, Minimal|Residual Minimal Disease|Residual Minimal Diseases|Residual Neoplasm|Residual Neoplasms|Residual Tumor|Residual Tumors|Residual Tumour|Residual Tumours|Tumour, Residual",Cancer|Pathology (process)
Neoplasms,MESH:D009369,DO:DOID:162,"New abnormal growth of tissue. Malignant neoplasms show a greater degree of anaplasia and have the properties of invasion and metastasis, compared to benign neoplasms.",MESH:C,C04,C,"Benign Neoplasm|Benign Neoplasms|Cancer|Cancers|Malignancies|Malignancy|Malignant Neoplasm|Malignant Neoplasms|Neoplasia|Neoplasias|Neoplasm|Neoplasm, Benign|Neoplasm, Malignant|Neoplasms, Benign|Neoplasms, Malignant|Tumor|Tumors",Cancer
"Neoplasms, Adipose Tissue",MESH:D018205,DO:DOID:3315,Neoplasms composed of fatty tissue or connective tissue made up of fat cells in a meshwork of areolar tissue. The concept does not refer to neoplasms located in adipose tissue.,MESH:D018204,C04.557.450.550,C04.557.450,"Adipose Tissue Neoplasm|Adipose Tissue Neoplasms|Neoplasm, Adipose Tissue",Cancer
"Neoplasms, Adnexal and Skin Appendage",MESH:D018294,,Neoplasms composed of sebaceous or sweat gland tissue or tissue of other skin appendages. The concept does not refer to neoplasms located in the sebaceous or sweat glands or in the other skin appendages.,MESH:D009375,C04.557.470.550,C04.557.470,Adnexal and Skin Appendage Neoplasms,Cancer
"Neoplasms, Basal Cell",MESH:D018295,DO:DOID:2513,Neoplasms composed of cells from the deepest layer of the epidermis. The concept does not refer to neoplasms located in the stratum basale.,MESH:D009375,C04.557.470.565,C04.557.470,"Basal Cell Cancer|Basal Cell Cancers|Basal Cell Neoplasm|Basal Cell Neoplasms|Cancer, Basal Cell|Cancers, Basal Cell|Cell Cancer, Basal|Cell Cancers, Basal|Cell Neoplasm, Basal|Cell Neoplasms, Basal|Neoplasm, Basal Cell",Cancer
"Neoplasms, Bone Tissue",MESH:D018213,DO:DOID:3347,"Neoplasms composed of bony tissue, whether normal or of a soft tissue which has become ossified. The concept does not refer to neoplasms located in bones.",MESH:D009372,C04.557.450.565.575,C04.557.450.565,"Bone Tissue Neoplasm|Bone Tissue Neoplasms|Bony Tissue Neoplasm|Bony Tissue Neoplasms|Neoplasm, Bone Tissue|Neoplasm, Bony Tissue|Neoplasms, Bony Tissue|Tissue Neoplasm, Bone|Tissue Neoplasm, Bony|Tissue Neoplasms, Bone|Tissue Neoplasms, Bony",Cancer
Neoplasms by Histologic Type,MESH:D009370,,A collective term for the various histological types of NEOPLASMS. It is more likely to be used by searchers than by indexers and catalogers.,MESH:D009369,C04.557,C04,Histological Type of Neoplasm|Histological Types of Neoplasms|Neoplasm Histological Type|Neoplasm Histological Types|Neoplasms by Histological Type|Neoplasms Histological Type|Neoplasms Histological Types,Cancer
Neoplasms by Site,MESH:D009371,DO:DOID:0050686,"A collective term for precoordinated organ/neoplasm headings locating neoplasms by organ, as BRAIN NEOPLASMS; DUODENAL NEOPLASMS; LIVER NEOPLASMS; etc.",MESH:D009369,C04.588,C04,"Neoplasms by Sites|Neoplasm Site|Neoplasm Sites|Site, Neoplasm|Sites, Neoplasm",Cancer
"Neoplasms, Complex and Mixed",MESH:D018193,,Neoplasms composed of more than one type of neoplastic tissue.,MESH:D009370,C04.557.435,C04.557,Complex and Mixed Neoplasms,Cancer
"Neoplasms, Connective and Soft Tissue",MESH:D018204,,Neoplasms developing from some structure of the connective and subcutaneous tissue. The concept does not refer to neoplasms located in connective or soft tissue.,MESH:D009370,C04.557.450,C04.557,Connective and Soft Tissue Neoplasms,Cancer
"Neoplasms, Connective Tissue",MESH:D009372,DO:DOID:201,"Neoplasms composed of connective tissue, including elastic, mucous, reticular, osseous, and cartilaginous tissue. The concept does not refer to neoplasms located in connective tissue.",MESH:D003240|MESH:D018204,C04.557.450.565|C17.300.680,C04.557.450|C17.300,"Connective Tissue Neoplasm|Connective Tissue Neoplasms|Neoplasm, Connective Tissue",Cancer|Connective tissue disease
"Neoplasms, Cystic, Mucinous, and Serous",MESH:D018297,,Neoplasms containing cyst-like formations or producing mucin or serum.,MESH:D009375,C04.557.470.590,C04.557.470,"Cystic, Mucinous, and Serous Neoplasms|Cystic Neoplasm|Cystic Neoplasms|Mucinous Neoplasm|Mucinous Neoplasms|Neoplasm, Cystic|Neoplasm, Mucinous|Neoplasms, Cystic|Neoplasm, Serous|Neoplasms, Mucinous|Neoplasms, Serous|Serous Neoplasm|Serous Neoplasms",Cancer
"Neoplasms, Ductal, Lobular, and Medullary",MESH:D018299,,"Neoplasms, usually carcinoma, located within the center of an organ or within small lobes, and in the case of the breast, intraductally. The emphasis of the name is on the location of the neoplastic tissue rather than on its histological type. Most cancers of this type are located in the breast.",MESH:D009375,C04.557.470.615,C04.557.470,"Ductal, Lobular, and Medullary Neoplasms",Cancer
Neoplasm Seeding,MESH:D009366,,"The local implantation of tumor cells by contamination of instruments and surgical equipment during and after surgical resection, resulting in local growth of the cells and tumor formation.",MESH:D009362,C04.697.650.830|C23.550.727.650.830,C04.697.650|C23.550.727.650,"Seeding, Neoplasm",Cancer|Pathology (process)
"Neoplasms, Experimental",MESH:D009374,,Experimentally induced new abnormal growth of TISSUES in animals to provide models for studying human neoplasms.,MESH:D009369,C04.619,C04,"Experimental Neoplasm|Experimental Neoplasms|Neoplasm, Experimental",Cancer
"Neoplasms, Fibroepithelial",MESH:D018225,,Neoplasms composed of fibrous and epithelial tissue. The concept does not refer to neoplasms located in fibrous tissue or epithelium.,MESH:D009375|MESH:D018218,C04.557.450.565.590.595|C04.557.470.625,C04.557.450.565.590|C04.557.470,"Fibroepithelial Neoplasm|Fibroepithelial Neoplasms|Neoplasm, Fibroepithelial",Cancer
"Neoplasms, Fibrous Tissue",MESH:D018218,DO:DOID:3355,"Neoplasms composed of fibrous tissue, the ordinary connective tissue of the body, made up largely of yellow or white fibers. The concept does not refer to neoplasms located in fibrous tissue.",MESH:D009372,C04.557.450.565.590,C04.557.450.565,"Fibrous Tissue Neoplasm|Fibrous Tissue Neoplasms|Neoplasm, Fibrous Tissue",Cancer
"Neoplasms, Germ Cell and Embryonal",MESH:D009373,DO:DOID:2994|DO:DOID:3095|DO:DOID:688,"Neoplasms composed of primordial GERM CELLS of embryonic GONADS or of elements of the germ layers of the EMBRYO, MAMMALIAN. The concept does not refer to neoplasms located in the gonads or present in an embryo or FETUS.",MESH:D009370,C04.557.465,C04.557,"Cancer, Embryonal|Cancer, Embryonal and Mixed|Cancer, Germ Cell|Cancers, Embryonal|Cancers, Germ Cell|Embryonal Cancer|Embryonal Cancers|Embryonal Neoplasm|Embryonal Neoplasms|Germ Cell and Embryonal Neoplasms|Germ Cell and Embryonic Neoplasms|Germ Cell Cancer|Germ Cell Cancers|Germ Cell Neoplasms|Germ Cell Tumor|Germ Cell Tumors|Neoplasm, Embryonal|Neoplasms, Embryonal|Neoplasms, Embryonal and Mixed|Neoplasms, Germ Cell|Neoplasms, Germ Cell and Embryonic|Tumor, Germ Cell|Tumors, Germ Cell",Cancer
"Neoplasms, Glandular and Epithelial",MESH:D009375,DO:DOID:305,"Neoplasms composed of glandular tissue, an aggregation of epithelial cells that elaborate secretions, and of any type of epithelium itself. The concept does not refer to neoplasms located in the various glands or in epithelial tissue.",MESH:D009370,C04.557.470,C04.557,"Cell Neoplasm, Epithelial|Cell Neoplasm, Glandular|Cell Neoplasms, Epithelial|Epithelial Cell Neoplasm|Epithelial Cell Neoplasms|Epithelial Neoplasm|Epithelial Neoplasm, Glandular|Epithelial Neoplasms|Glandular and Epithelial Neoplasms|Glandular Cell Neoplasm|Glandular Cell Neoplasms|Glandular Epithelial Neoplasm|Glandular Epithelial Neoplasms|Glandular Neoplasm|Glandular Neoplasms|Neoplasm, Epithelial|Neoplasm, Epithelial Cell|Neoplasm, Glandular|Neoplasm, Glandular Cell|Neoplasm, Glandular Epithelial|Neoplasms, Epithelial|Neoplasms, Glandular|Neoplasms, Glandular Epithelial",Cancer
