entity1	theme	entity2
17b-estradiol	treatment	myocardial_heat_shock
2-methoxy-p-phenylenediamine	treatment	muscle_necrosis
3-ohba	treatment	diabetic_coma
13-cra	treatment	breast_tumor
4,4-dithiodimorpholine	treatment	toxicity
3-hmx	treatment	diabetic
5-asa	treatment	cancer
2,6-diaminopurine	treatment	mouse_leukemia
2-deoxyglucose	treatment	cytotoxicity
1-oh_midazolam_glucuronide	treatment	coma
3,4-dichloropropionaniline	treatment	arthritis
2-deoxy-d-glucose	treatment	lewis_lung_carcinoma
3-o-methyl-d-glucose	treatment	fibrosarcoma
4-hydroxyanisole	treatment	cytotoxicity
18f-fdg	treatment	human_immunodeficiency_virus-associated_lipodystrophy
12-o-tetradecanoylphobol_13-acetate	treatment	pkc
5-ala	treatment	scl-gvhd
3-br-7ni	treatment	maternal_aggression
3-phenylpropyl_cinnamate	treatment	toxicity
1,25-dihydroxyvitamin_d3	treatment	osteogenic_sarcoma
2-me	treatment	fibrosis
2-vo	treatment	neuronal_dysfunction
1-mcg	treatment	hemolysis
13-cis-retinoic_acid	treatment	renal_cell_carcinoma
18-ohb	treatment	zona_fasciculata
4-thujanol	treatment	genotoxic_damage
2,4-dichlorophenol	treatment	emerson-trinder_reaction
4-t-op	treatment	sps
5-aminosalicylates	treatment	ulcerative_colitis
17-aag	treatment	cutaneous_leishmaniasis
2,4-d	treatment	depressed
1-methyl-4-phenylpyridinium	treatment	neurotoxic
25-oh-d	treatment	bv
3,4-methylenedioxymethamphetamine	treatment	axonal_degeneration
14c-glycocholate	treatment	autonomic_dysfunction
5-aminolevulinic_acid	treatment	condyloma_acuminatum
18f-fdg	treatment	malt_lymphoma
17-40s	treatment	dimeric_to_hexameric_composition
3,4-dap	treatment	paralysis
24_l-phenylalanine	treatment	toxicity
1,25-d	treatment	mcf
26-hydroxycholesterol	treatment	atherosclerotic_lesions
5-ala	treatment	meningioma
2,4-hexadienal	treatment	cancer
4-dimethylaminoazobenzene	treatment	carcinogenesis
25ohd	treatment	phpt
23-g	treatment	pseudophakic_eyes
3-4-diaminopyridine	treatment	lems
3-nitropropionic_acid	treatment	striatal_degeneration
25-oh_vitamin_d	treatment	h1n1_infection
11-hocs	treatment	heart_diseases
131i-metaiodobenzylguanidine	treatment	malignant_pheochromocytoma
1400w	treatment	epileptiform_spiking
2,3,7,8-tetrachlorodibenzo-p-dioxin	treatment	anorexia
3,6-dhf	treatment	carcinogenesis
18f-fdg	treatment	thyroid_lesions
15d-pgj	treatment	gastric_mucosal_injury
18-f-fluorodeoxyglucose	treatment	thyroid_carcinoma
18f-fdg	treatment	polychondritis
11ohd	treatment	congenital_adrenal_hyperplasia
2-hg	treatment	aml
2-cado	treatment	seizures
3-methyladenine	treatment	neuronal_death
18f-naf	treatment	atherosclerotic_lesions
18f-fluorodeoxyglucose_positron	treatment	head_and_neck_cancer
2-chlorophenol	treatment	toxicity
5-ala-pdt	treatment	inflammatory_joint_diseases
3-methyl-1-phenyl-2-pyrazolin-5-one	treatment	cerebral_infarction
123i-labeled_metaiodobenzylguanidine	treatment	hypertensive
18o2	treatment	dehydration
2-hydroxyestrone	treatment	ptc
2-me	treatment	human_osteoblasts
4-hydroxynonenal	treatment	diabetes
2,3-butanedione_monoxime	treatment	cardiac_arrest
5-aminosalicylic	treatment	ulcerative_colitis
1,3-dnb	treatment	toxicity
1-aminocyclopropane-1-carboxylic_acid	treatment	wt
1,25_dihydroxy-vitamin_d3	treatment	osteogenic_sarcoma
1-methoxyoctadecan-1-ol	treatment	photothrombotic_ischemic_injury
5-aminolevulinic_acid	treatment	neurological_dysfunctions
3d-ctc	treatment	unruptured_cerebral_aneurysm
1,25-dihydroxyvitamin_d3	treatment	alopecia
16-iodo-3-methylhexadecanoic_acid	treatment	myocardial_infarction
3-aminobenzamide	treatment	death
5,7-dichlorokynurenic_acid	treatment	muscle_rigidity
1,25-dihydroxycholecalciferol	treatment	td
12-o-tetradecanoylphorbol-13-acetate	treatment	hypersensitivity
5-aminosalicylic_acid	treatment	od
25-hydroxyvitamin_d	treatment	deep-wound_infection
59fe	treatment	nm
4f-pcc	treatment	traumatic_hemorrhage
18f-fluorodeoxyglucose	treatment	uterine_sarcoma
1,25-dihydroxyvitamin_d3	treatment	renal_failure
2-oca	treatment	gvh
1,5-ag	treatment	renal_insufficiency
17b-estradiol	treatment	lordosis
5-aminosalicylic_acid	treatment	chronic_inflammatory_bowel_disease
14c-tyrosine	treatment	ehrlich_ascites_tumour
1,25-dihydroxyvitamin_d3	treatment	bone_loss
1-tyrosine	treatment	psychosis
3_alpha-androstanediol	treatment	hirsutism
12-o-tetradecanoylphorbol-13-acetate	treatment	carcinoma
4-methylpyrazole	treatment	acute_intoxication
13-ra	treatment	tumor
3-hydroxyglutarate	treatment	neuronal_damage
2-deoxyglucose	treatment	erythrocyte_glucose_consumption
13-cis-retinoic_acid	treatment	acute_promyelocytic_leukemia
25-hydroxyvitamin_d	treatment	as
1,25-dihydroxyvitamin_d	treatment	breast_cancer
4-epidoxorubicin	treatment	gastric_cancer
2-amino-4-arsonobutyrate	treatment	seizure
1,2-epoxy-3-butene	treatment	sces
4-nitroquinoline-n-oxide	treatment	oral_carcinogenesis
2-amino-3-benzoylthiophenes	treatment	allosteric_enhancers
1,4-benzodiazepine	treatment	lupus-like_disease
14c-leucine	treatment	urinary_bladder_carcinoma
1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphorylcholine	treatment	acute_necrotizing_pancreatitis
4-o-demethyl-11-deoxydoxorubicin	treatment	tumors
3-phenylactetylamino-2,6-piperidinedione	treatment	breast_tumor
131i-metaiodobenzylguanidine	treatment	pheochromocytomas_and_paragangliomas
1,2,3-triazoles	treatment	acute_myeloid_leukemia
3-ost-5	treatment	hs
4-hydroxynonenal	treatment	cancer
18f-ah111585	treatment	tumors
13-methyltetradecanoic_acid	treatment	breast_cancer
5-aminolevulinic_acid	treatment	skin_cancer
5a-dihydroprogesterone	treatment	seizures
18-fluorodeoxyglucose	treatment	pancreatic_ductal_adenocarcinoma
57co-bleomycin	treatment	metastases_of_malignant_melanoma
24s-ohc	treatment	necrosis
1,2-diacylglycerol	treatment	cardiac_hypertrophy
3-np	treatment	metabolic_dysfunction
5-aminosalicylic_acid	treatment	allergy
1-methyl-4-phenylpyridnium	treatment	neurotoxicity
51cr_edta	treatment	ulcerative_colitis
2dg	treatment	temporary_hypothermia
1,25-dihydroxyvitamin_d	treatment	hypercalciuria
4-nitroquinoline_1_oxide	treatment	zd
4-cl-a	treatment	shb-emia
4-methylumbelliferyl-beta-d-galactoside	treatment	beta-galactosidase
1alpha-hydroxycholecalciferol	treatment	calcium_deficiency
15-f2t-isoprostane	treatment	attenuated_iir_injury
17b-estradiol	treatment	intervertebral_disc_degeneration
1,4-dichlorobenzene	treatment	vocs
25-oh_vitamin_d	treatment	alcoholic
4-ap	treatment	neurological_disorders
3ab	treatment	lymphoblastic_leukaemia
4-phenylbutyric_acid	treatment	muscle_atrophy
1alpha-hydroxyvitamin_d3	treatment	hypophosphatemic_rickets
1-deoxymannojirimycin	treatment	lah
15_d-pgj2	treatment	endotoxemia
18f-fdg	treatment	breast_cancer_lesions
123i-metaiodobenzylguanidine	treatment	dilated_cardiomyopathy
2c-e	treatment	overdose
3h-thymidine	treatment	tumor
1,25-dihydroxyvitamin_d	treatment	hypercalcemia
4-hydroxy-2,2,6,6-tetramethylpiperidine-1-oxyl	treatment	embryo_lethality
3-hydroxy-3-methyl_glutaryl_coenzyme_a	treatment	hypercholesterolemia
18f-fluorodeoxyglucose	treatment	fever
4-aminopyridine	treatment	pkc
4-ohb	treatment	faster_transformation_activity
5-aa-cdr	treatment	leukopenia
2dg	treatment	hcc
3tc	treatment	hepatitis_b
2-oxo-oximes	treatment	toxicity
4-pba	treatment	preterm_birth
3-o-methyl-d-glucopyranose	treatment	toxicity
123i-betamethyl-p-iodophenyl-pentadecanoic_acid	treatment	chest_pain
17beta-estradiol	treatment	interstitial_fibrosis
3-ohb	treatment	hemorrhagic_shock
17_beta-oestradiol	treatment	postmenopausal_breast_cancer
5-asa	treatment	ischemia
3-ma	treatment	ischemia
4cmenb	treatment	fever
2-deoxy-d-glucose	treatment	glucose_insufficiency
3-hyp	treatment	glomerulonephritis
25-hydroxy-vitamin_d	treatment	sarcopenia
1,25-dihydroxycholecalciferol	treatment	renal_failure
2,4,6-trinitrobenzene_sulfonic_acid	treatment	oa
3h_dihydroergocryptine	treatment	myeloproliferative_disorders
3,4-diaminopyridine	treatment	congenital_myasthenic_syndrome
4-hydroxy_clo	treatment	bone_loss
4-hydroxyaminoquinoline_1-oxide_hydrochloride	treatment	carcinomas
2,8-dihydroxyadenine	treatment	urolithiasis
3,5-dbr-l-phe	treatment	paired_pulse_depression
1.4-dihydroxy-2-naphthoic_acid	treatment	colitis
13-cis-retinoic_acid	treatment	mycosis_fungoides
1,25-dihydroxycholecalciferol	treatment	renal_osteodystrophy
3-cl-ahpc	treatment	pancreatic_cancer
17-beta_estradiol	treatment	experimental_autoimmune_encephalomyelitis
2-methoxyestradiol	treatment	prostate_cancer
2,4,6-trinitrobenzenesulfonic_acid	treatment	ibd
2-cda	treatment	smc
18f-fdg	treatment	lung_lesions
2-deoxy-d-glucose	treatment	tumor
2-methoxyestradiol	treatment	hepatocellular_carcinoma
5-aminosalicylic_acid	treatment	inflammatory_bowel_diseases
2ohe2	treatment	male_infertility
5-asa	treatment	hemorrhoids
3,5-diethoxycarbonyl-1,4-dihydrocollidine	treatment	porphyria
13-cis-retinoic_acid	treatment	squamous_cell_carcinomas
1-beta-d-arabinofuranosylcytosine	treatment	ovarian_adenocarcinoma
4-hydroxynonenal	treatment	pn-related_liver_complications
35s_lipoic_acid	treatment	breast_cancer
15d2-d3	treatment	tumors
5-aminoisoquinoline	treatment	acute_kidney_injury
17-hydroxyprogesterone	treatment	premature_adrenarche
25-hydroxyvitamin-d	treatment	chronic_kidney_disease
1,25-dihydroxyvitamin_d3	treatment	osteopenia
12-o-tetradecanoyl-phorbol-13-acetate	treatment	ra
11a-o-benzoyl-12b-o-acetyltenacigenin_b	treatment	burkitt_lymphoma
2-alpha-difluoromethylornithine	treatment	transitional_cell_carcinoma
5-aminolevulinic_acid	treatment	uc
3h-vincristine	treatment	mouse_carcinoma
4-hydroxyaminoquinoline_1-oxide_hydrochloride	treatment	carcinoma
4ma	treatment	androgen-responsive_tumors
2-methoxyestradiol	treatment	hormone-refractory_prostate_cancer
20-hete	treatment	diabetes
2-mercapto-2-methylpropanoyl-l-cysteine	treatment	arthritis
5-ala	treatment	mb
3-nitrotyrosine	treatment	inflammation
20-hydroxyecdysterone	treatment	diabetes
1,2-dibromo-3-chloropropane	treatment	impaired_semen_quality
14c	treatment	tumor
13-acetate	treatment	b_lymphoma
25_hydroxyvitamin_d	treatment	ibd
4-meoen	treatment	breast_cancer
17-ketosteroid	treatment	diabetes_mellitus
4-hpr	treatment	ra
1,3-dinitrobenzene	treatment	edematous
17-hydroxyprogesterone	treatment	pcos
3-ma	treatment	cardiac_dysfunction
17dmag	treatment	tumor
2-deoxyglucose	treatment	photodynamic_therapy
1-deamino-8-d-arginine_vasopressin	treatment	di
17_beta-estradiol	treatment	pituitary_tumor
2-cyano-3,12-dioxoolean-1,9-dien-28-oic_acid	treatment	ovarian_carcinoma
1,2-dimethylhydrazine	treatment	colitis
17-aag	treatment	hcc
2-cda	treatment	panhypopituitarism
123i-mibg	treatment	pd
25-hydroxyvitamin_d	treatment	vitamin_d_deficiency
1,25-dihydroxyvitamin_d	treatment	cancer
5-asa	treatment	colon_cancer
17beta-estradiol	treatment	weight_gain
17-hydroxyprogesterone	treatment	21-hydroxylase_deficiency
3,4_dimethoxyphenylethylamine	treatment	schizophrenia
3-aminobenzamide	treatment	cytotoxicity
17beta-hydroxysteroid	treatment	male_pseudohermaphroditism
071031b	treatment	lower_cytotoxicity
12-hete	treatment	leukemic_blasts
25-hydroxyvitamin_d	treatment	breast_cancer
1,3_dichloropropene	treatment	crs
17-aag	treatment	neuronal_death
5-asa	treatment	inflammation
1,5-ag	treatment	diabetes_mellitus
1,5-anhydroglucitol	treatment	diabetes
3-bromopyruvate_propyl_ester	treatment	colon_cancer
2-acetamido-2-deoxy-d-galactonolactone	treatment	beta-n-acetylgalactosaminidase
11_beta-hydroxysteroid	treatment	hypertension
5-asa	treatment	sarcoidosis
5-aminosalicylic_acid	treatment	crc
17-desoxymethasone	treatment	psoriasis
2-pyridones	treatment	bacterial_infections
25-hydroxycholecalciferol	treatment	fractures_of_the_femoral_neck
25-hydroxyvitamin_d	treatment	gestational_diabetes_mellitus
4-ipomeanol	treatment	injury_in_rabbit_kits
3-nitropropionic_acid	treatment	motor_defects
17b-estradiol	treatment	brain_damage
10-hydroxycamptothecin	treatment	promyelocytic_leukemia
1metiq	treatment	analgesia
1-methylxanthine	treatment	tumor
22q11ds	treatment	behavioral_problems
1,4-bis-trichloromethylbenzol	treatment	opisthorchiasis
18f-fluorodeoxyglucose	treatment	pancreatic_cystic_tumors
1-methyl-3-nitro-1-nitrosoguanidine	treatment	fibrosarcoma
1-methyladenosine	treatment	cancer
3,4-methylene_dioxymethamphetamine	treatment	toxicity
188re-rc-160	treatment	somatostatin-receptor-positive_cancers
2-deoxy-d-glucose	treatment	t-cell_dysfunction
3h-methylprednisolone	treatment	acute_myocardial_ischemia
131i	treatment	cancer
4-iodoantipyrine	treatment	encephalitis
4-pba	treatment	pd
4-iodophenylalanine	treatment	tumours
3-methoxy-phencyclidine	treatment	non-fatal_intoxication
17beta-estradiols	treatment	breast_cancer
1,2-diacylglycerol	treatment	hypertension
5-ala	treatment	malignant_glioma
1-chloro-2,4-dinitrobenzene	treatment	ubte
4-chlorophenyl_acetate_ester_enolate	treatment	cdi
51-cr-edta	treatment	impaired_renal_function
223ra	treatment	bone_tumors
12-0-tetradecanoyl-phorbol-13-acetate	treatment	aml
4-tert-butyltoluene	treatment	long-lasting_central_nervous_system
25-dihydroxyvitamin_d3	treatment	myeloid_leukemia
2-fluoro-2-deoxyglucose_positron	treatment	wolman_disease
18f-fdg	treatment	mature_cystic_teratoma
5-ala	treatment	tumours
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridinium	treatment	neurotoxic
1,25-dihydroxyvitamin_d	treatment	renal_insufficiency
25-hydroxyvitamin	treatment	hypovitaminosis_d
15d-pgj	treatment	atherosclerotic_lesions
3-mpa	treatment	seizures
2,3_diphosphoglycerate	treatment	mpn
18f-fdg	treatment	lymphomas
17-hydroxyprogesterone	treatment	prematurity
4-hydroperoxycyclophosphamide	treatment	colony-forming_cells
1-deoxy-1-fluoro-scyllo-inositol	treatment	memory_impairments
4-hydroxy_cinnamic_acid	treatment	cytotoxicity
1,2-dag	treatment	pdgf
17b-estradiol	treatment	bca
2,4-d	treatment	malformation
14c-lactose	treatment	lactase_deficiency
2-pentenenitrile	treatment	toxicity
11-deoxyprostaglandin_e1	treatment	hyperalgesia
3-benzoyl-1-methyl-4-phenyl-4-piperidinol_hydrochloride	treatment	edema
4-hydroxyisoleucine	treatment	diabetic
3-hydroxy-3-methylgutaryl_coa	treatment	cardiovascular_diseases
2,3,7,8-tetrachlorodibenzo-p-dioxin	treatment	hepatocellular_injury
17-b_estradiol	treatment	craniofacial_defects
3-aminohexahydrocoumarin	treatment	cytotoxicity
1,1-dichloroethylene	treatment	necrosis
5-aminosalicylate	treatment	ibd
3-hydroxybutyrate	treatment	diabetic
3-o-sulfotransferases	treatment	breast_cancer
2-cda	treatment	lymphoid_neoplasms
3,3-dimethyl-2,5-hexanedione	treatment	neurotoxicity
2-deoxy-d-glucose	treatment	retinal_tumors
10-hydroxycamptothecin	treatment	epidural_fibrosis
2-f-ara-amp	treatment	malignancy
17-ketosteroids	treatment	cervical_cancer
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	treatment	dyskinesias
3,4-diaminopyridine_phosphate	treatment	lambert-eaton_syndrome
14c-iodoantipyrine	treatment	mcao
2-vinylazetidine	treatment	electron-deficient_allenes_also
25ohd	treatment	imt
2-benzylidene-2,3-dihydro-1h-inden-1-one	treatment	ibd
3-substituted_triazinoindole	treatment	rhinovirus_infection
2,3-dph	treatment	rf
10-propargyl-5,8-dideazafolate	treatment	ts
17_beta-hydroxysteroid	treatment	hsd
3h-leucine	treatment	cultured_melanoma
3-azido-2,3-dideoxythymidine	treatment	aids
4-ohcp	treatment	cp
1-hydroxyvitamin_d3	treatment	mds
3-ma	treatment	degeneration_of_cells
123i-iolopride	treatment	parkinsonian_symptoms
4-hydroxyltamoxifen	treatment	breast_cancer
2,4-dinitrophenol	treatment	deaths
4-aminophenol	treatment	necrosis
18f-fluoro-2-deoxy-d-glucose	treatment	lung_tumor
3-ap	treatment	cerebellar_ataxia
4-hydroxynonenal	treatment	ros
131-i-metaidobenzylguanidine	treatment	pheochromocytoma
2-dg	treatment	hyperglycemia
131i	treatment	dtc
3-hydroxy-3-methylglutaryl-conenzyme_a	treatment	coronary_artery_disease
3h-25_hydroxyvitamin_d	treatment	metabolic_acidosis
4-heptanone	treatment	diabetes_mellitus
3d-cta	treatment	calcification
4-aminopyridine	treatment	paralysis
2,4-d	treatment	cp
3h-thymidine	treatment	gliomas
5-aminolevulinic_acid	treatment	anastomosis
2-bromopropane	treatment	toxicity
5-aminoimidazole-4-carboxamide-1-b-d-ribofuranoside	treatment	tumor
4-ohne	treatment	toxicity
17b-estradiol	treatment	brain_death
4-ipomenaol	treatment	necrosis
3,4-methylenedioxymeth-amphetamine	treatment	cognitive_abnormalities
2-bfi	treatment	tbi
15-n-nervonoyl_sphingosine	treatment	atom_bombardment-ms
35s-methionine	treatment	virus_infection
2-octyl_cyanoacrylate	treatment	fractured_molar_tooth
4-hne	treatment	proton_leak
4-terpineol	treatment	hcc
4-alkoxy	treatment	tma-2
2-chloroadenosine	treatment	epileptic
2-dichloromethylene_bisphosphonate	treatment	bone_disease
18f-fluorodeoxyglucose_positron	treatment	colorectal_cancer
4-aminoquinoline	treatment	falciparum
2-deoxyglucose	treatment	c6_glioma
5-ala	treatment	fluorescence-guided_surgery
1,2-dioleoyl-3-trimethylammonium-propane	treatment	cytotoxicity
1h-mrs	treatment	meningioma
123i-iodoazomycin_arabinoside	treatment	tumor_hypoxia
5-asa	treatment	granulomatous_lung_diseases
4-amino-2-tri-fluoromethyl-phenyl_ester	treatment	lung_carcinoma
2,3-dpg	treatment	rccs
11c-methionine	treatment	breast_cancer
4-chlorophenol	treatment	toxicity
2-deoxycoformycin	treatment	monocytic_leukemia
1,2,4-trichlorobenzene	treatment	subchronic_toxicity
3_a-aminocholestane	treatment	developmental_defect
18f-dopa	treatment	tumour
3np	treatment	decrease_in_locomotor_activity
4-aminopyridine	treatment	hepatoblastoma
1,24,25-trihydroxyvitamin_d3	treatment	bone_loss
11c-methionine	treatment	metastasis
2-dg	treatment	cardiac_dysfunction
2,3,7,8-tcdd	treatment	toxicity
3,5-t2	treatment	primary_hypothyroidism
25-oh_d	treatment	chronic_kidney_disease
3-hydroxyisovalerylcarnitine	treatment	biotin_deficiency
3-hydroxy-3-methylglutaric_acid	treatment	atherosclerosis
2,3-dimercaptopropane-1-sulfonate	treatment	lead_poisoning
4-bromo-2,5-dimethoxyphenethylamine	treatment	cerebral_vasculopathy
5-aminolevulinic_acid	treatment	bladder_cancer
2-en-vpa	treatment	toxicity
3-hydroxy-3-methylglutaryl-coa	treatment	cin
1r,2s-methoxamine	treatment	faecal_incontinence
153sm-edtmp	treatment	painful_bone_metastases
2ccpa	treatment	demyelination
3-bmc	treatment	ms
2,4,6-trihydroxyphenethylamine	treatment	toxicity
2,3,5-triphenyl_tetrazolium_chloride	treatment	infarct
5-aminolevulinic_acid	treatment	buccal_cancer
18f-fluorocholine	treatment	hyperparathyroidism
1-o-alkyl-2-o-acetyl-sn-glyceryl-3-phosphorylcholine	treatment	chemotaxis
2-deoxy_glucose	treatment	cancer
5-40	treatment	tumor
3-nitropropionic_acid	treatment	metabolic_impairment
3-methylhistidine	treatment	trauma
4-n-alkanoylgemcitabine	treatment	cytotoxicity
3-mercaptopropionic_acid	treatment	seizure
2-methoxyestradiol	treatment	npc
2-phenylindenes	treatment	mammary_tumor
4-hpr	treatment	esft
4-mei	treatment	necrotic
3,4_methylenedioxymethamphetamine	treatment	posttraumatic_stress_disorder
2-chlorodeoxyadenosine	treatment	autoimmune_hemolytic_anemia
18f-fdg	treatment	malignancy
4-hydroxy-tamoxifen	treatment	breast_cancer
1,25-dihydroxyvitamin_d3	treatment	neuroblastoma
4-dimethylaminophenol	treatment	cyanide_poisoning
3-hydroxy-3-methylglutaryl_coenzyme_a	treatment	cia
2-amino-7-phosphonoheptanoic_acid	treatment	impaired_motor_coordination
1,2,3-triazole	treatment	bacterial_infections
3-aminoindazole	treatment	anaplastic_lymphoma
2-methoxyestradiol	treatment	bladder_obstruction
5-aminosalicylate	treatment	distal_colitis
3-methyladenine	treatment	mps
5,5-dimethyl-1-pyrroline_n-oxide	treatment	liver_ischemia
17-aag	treatment	cerebral_infarction
4-alpha-phorbol_12,13_didecanoate	treatment	pkc
3-nitropropionic_acid	treatment	dystonia
5-aminoisoquinolinone	treatment	adjuvant_induced_arthritis
3co	treatment	asd
1-beta-d-arabinofuranosylcytosine	treatment	acute_leukemia
25-hydroxyvitamin_d	treatment	canadian_health_measures_survey
1,1,1-trichloroethane	treatment	liver_disease
3-hydroxyglutarate	treatment	gdhd
18f-fdg_pet	treatment	tumor
2,3,7,8-tetrachlorodibenzo-p-dioxin	treatment	preterm_birth
2-nbdg	treatment	hyperinsulinemic-euglycemic_clamp_test
1-o-alkyl_lysophospholipid	treatment	alp
12-o-tetradecanoylphorbol-13-acetate	treatment	colon_cancer
2-pmpa	treatment	colitis
1,25-dihydroxyvitamin_d3	treatment	breast_cancer
3-hydroxy-3methylglutaryl_coenzyme_a	treatment	cardiovascular_events
2-dg	treatment	cytotoxicity
2-3_di-phosphoglycerate	treatment	hyperactivity
2-butoxyethanol	treatment	hemolytic_anemia
3,4-benzopyrene	treatment	aaa
2-cda	treatment	splenic_marginal_zone_lymphomas
4-hydroxynonenal	treatment	cornea
12-o-tetradecanoylphorbol_13-acetate	treatment	epstein-barr_virus
2hf	treatment	sclc
17beta-estradiol	treatment	adrenocortical
25-ohd	treatment	infectious_disease
2-hydroxycinnamaldehyde	treatment	tumor
2-methoxyestradiol	treatment	nasopharyngeal_carcinoma
1,25-dihydroxyvitamin_d3	treatment	gastric_cancer
3,4-methylenedioxymethamphetamine	treatment	neural_and_cardiac_toxicities
17_beta-hydroxysteroid	treatment	leiomyoma
24,25-dihydroxyvitamin_d	treatment	nephrotic_syndrome
17beta-estradiol	treatment	postmenopausal_atrophic_vaginitis
18b-sga	treatment	ar
4-o-methylhonokiol	treatment	ad
3,4-benzopyrene	treatment	papillomata
3,5-diiodothyropropionic_acid	treatment	heart_failure
1,2-dimethylhydrazine	treatment	hypercholesteremia
18f-fluoro-deoxyglucose	treatment	mantle_cell_lymphoma
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	treatment	motor_deficit
5-aminolevulinic_acid	treatment	photodynamic_diagnosis
2-methyl-1,4_naphthoquinone	treatment	ros
5-asa	treatment	uc
